f;Abs(Zm);Std(Abs);Phi(Zm); Std(Phi);Re(Zm);Im(Zm);Time [s];phase (mrad);resistivity (Ohm.m);conductivity (mS/m);real c (mS/m);im c (uS/m)
0.01;1503.8176;1.0146;-0.005092;2e-06;1503.7981;-7.6571;3732010781;-5.0920000000000005;34.106583168;29.319852858735945;29.319472750182584;149.29604558520793
0.02;1503.4901;0.3627;-0.008519;3.2e-05;1503.4355;-12.8074;3732010932;-8.519;34.099155468;29.326239499932473;29.325175354485214;249.82721247425957
0.03;1501.5701;0.2284;-0.010555;4.6e-05;1501.4865;-15.8493;3732011033;-10.555;34.055609868;29.363737835734362;29.362102172900496;309.9284980277346
0.04;1499.6978;0.2137;-0.011953;5.5e-05;1499.5907;-17.9252;3732011109;-11.953;34.013146104;29.400397038908388;29.39829678467897;351.4145776532841
0.05;1498.1303;0.2182;-0.012991;4.6e-05;1498.0039;-19.4612;3732011170;-12.991000000000001;33.977595203999996;29.43115879732052;29.42867534158298;382.32942968433036
0.06;1496.7031;0.1957;-0.013781;3.8e-05;1496.561;-20.6251;3732011221;-13.781;33.945226307999995;29.459223247668447;29.45642590359386;405.9647054285399
0.07;1495.339;0.1684;-0.014392;1.7e-05;1495.1841;-21.5207;3732011265;-14.392;33.91428851999999;29.486096970905884;29.483043300936103;424.349258031397
0.08;1494.0675;0.1538;-0.014865;5e-06;1493.9024;-22.2078;3732011303;-14.865;33.8854509;29.511190597732313;29.507930140069096;438.6676925485731
0.09;1492.875;0.1079;-0.01526;4e-06;1492.7012;-22.7809;3732011337;-15.26;33.858405;29.53476396776517;29.531325189696744;450.6830060945439
0.1;1491.7487;0.0728;-0.015595;9e-06;1491.5673;-23.2623;3732011368;-15.594999999999999;33.832860516000004;29.55706330320745;29.553469177669225;460.92371859946616
0.2;1480.1807;0.095;-0.017165;0.000156;1479.9627;-25.4053;3732011384;-17.165;33.570498275999995;29.788059497315047;29.78367126946703;511.2869330478149
0.3;1473.2308;0.1315;-0.017256;4.2e-05;1473.0115;-25.4215;3732011395;-17.256;33.412874544;29.928583327457876;29.924127527841026;516.4220038848223
0.4;1468.4875;0.0411;-0.017303;1.4e-05;1468.2676;-25.4082;3732011404;-17.302999999999997;33.3052965;30.025254391595045;30.020759816094817;519.5010532657644
0.5;1464.8742;0.013;-0.017205;5e-06;1464.6574;-25.2017;3732011411;-17.205000000000002;33.223346856;30.099315530560528;30.094860760780282;517.8331753465168
0.6;1461.9399;0.0212;-0.017095;7e-06;1461.7263;-24.9911;3732011416;-17.095;33.156796932;30.15972869909182;30.155321881559082;515.5554503511125
0.7;1459.517;0.0086;-0.016994;5e-06;1459.3063;-24.8019;3732011422;-16.994;33.10184556;30.20979595193302;30.205433822255372;513.3605621586948
0.8;1457.4398;0.0087;-0.016887;4e-06;1457.2319;-24.611;3732011426;-16.887;33.054734664;30.252852130412126;30.24853861836765;510.85563293616343
0.9;1455.6235;0.005;-0.016797;3e-06;1455.4181;-24.449;3732011431;-16.797;33.013540979999995;30.29060107807921;30.286328095431134;508.76730165364694
1.0;1454.023;0.0036;-0.016713;1e-06;1453.8199;-24.2998;3732011434;-16.712999999999997;32.977241639999995;30.323943127706666;30.31970811814662;506.780468035428
2.0;1443.4568;0.0043;-0.016133;3e-06;1443.269;-23.2869;3732011437;-16.133000000000003;32.737600224;30.545916412862116;30.541941349905933;492.7758927396869
3.0;1437.5114;0.0041;-0.015756;3e-06;1437.333;-22.6478;3732011439;-15.755999999999998;32.602758552;30.672251196322637;30.668444058348236;483.2519945951561
4.0;1433.3828;0.002;-0.015461;2e-06;1433.2115;-22.1607;3732011440;-15.461;32.509121904;30.76059707035513;30.756920598256517;475.57064384208
5.0;1430.253;0.0029;-0.015222;2e-06;1430.0873;-21.7701;3732011442;-15.222;32.43813804;30.82790999800555;30.824338510492154;469.24432412203055
6.0;1427.7389;0.0066;-0.015011;2e-06;1427.5781;-21.4305;3732011443;-15.011;32.381118252;30.8821947474972;30.87871546849053;463.5552160715295
7.0;1425.6794;0.0095;-0.014834;3e-06;1425.5225;-21.1484;3732011444;-14.834;32.334408792;30.926806376228363;30.923403754544946;458.7514208315445
8.0;1423.8876;0.0031;-0.014669;2e-06;1423.7344;-20.8859;3732011446;-14.669;32.293770768;30.965724231587817;30.96239269585523;454.2199185370971
9.0;1422.3288;0.0049;-0.014521;1e-06;1422.1789;-20.6527;3732011447;-14.520999999999999;32.258417183999995;30.999661089881208;30.996392861705576;450.13025926119633
10.0;1420.9538;0.0043;-0.014391;0.0;1420.8067;-20.4483;3732011448;-14.391;32.227232184;31.029658218569402;31.02644513924551;446.53239817551224
20.0;1412.2984;0.0027;-0.013494;3e-06;1412.1698;-19.0569;3732011449;-13.494000000000002;32.03092771199999;31.21982631884128;31.21698398354195;421.2675514446686
30.0;1407.5659;0.0015;-0.01298;1e-06;1407.4473;-18.2702;3732011450;-12.98;31.923594612;31.324793218120323;31.3221544483234;406.5843988297616
40.0;1404.3627;0.0021;-0.01264;2e-06;1404.2505;-17.7506;3732011451;-12.64;31.850946036;31.396241696235187;31.3937336471393;396.8379277372776
50.0;1402.0019;0.0022;-0.012397;1e-06;1401.8942;-17.3803;3732011452;-12.397;31.797403092;31.449109133430866;31.446692526636074;389.8646196511725
60.0;1400.0182;0.0026;-0.01221;1e-06;1399.9138;-17.0944;3732011453;-12.21;31.752412776;31.493669695420696;31.491322121885286;384.52815230931594
70.0;1398.4159;0.0026;-0.012065;3e-06;1398.3141;-16.8717;3732011453;-12.065;31.716072612;31.529755030944248;31.527460256603113;380.39726558608726
80.0;1397.0678;0.0018;-0.011953;2e-06;1396.968;-16.6988;3732011454;-11.953;31.685497704000003;31.560179655115824;31.557925114106933;377.2298445319256
90.0;1395.8881;0.0059;-0.011856;2e-06;1395.79;-16.5494;3732011455;-11.856;31.658742107999995;31.58685195351793;31.58463198076931;374.48494338749845
100.0;1394.8639;0.003;-0.011779;1e-06;1394.7671;-16.4292;3732011456;-11.779;31.635513252000003;31.610045079220576;31.607852239235264;372.326111127591
200.0;1388.1048;0.0006;-0.011445;1e-06;1388.0139;-15.8859;3732011457;-11.445;31.482216864;31.76396390126842;31.761883574527925;363.5306303688493
300.0;1384.2397;0.0042;-0.011414;1e-06;1384.1495;-15.7997;3732011458;-11.414;31.394556396000002;31.85265583581906;31.85058098596341;363.5583195636732
400.0;1381.5384;0.0006;-0.011476;1e-06;1381.4475;-15.8537;3732011459;-11.476;31.333290911999995;31.9149368257715;31.912835272969403;366.24777583727655
500.0;1379.447;0.0027;-0.011572;1e-06;1379.3546;-15.963;3732011460;-11.572000000000001;31.285857959999998;31.96332353354455;31.961183434177173;369.87132481670267
600.0;1377.7136;0.0041;-0.011685;1e-06;1377.6195;-16.0981;3732011460;-11.684999999999999;31.246544447999998;32.003538876568705;32.001354032230886;373.9528417652778
700.0;1376.251;0.0037;-0.011804;0.0;1376.1551;-16.2448;3732011461;-11.804;31.21337268;32.03755038752192;32.035318446750956;378.1624627905675
800.0;1374.9668;0.0013;-0.011928;0.0;1374.869;-16.3997;3732011462;-11.927999999999999;31.184247023999998;32.067473017077525;32.06519180924527;382.4917480223439
900.0;1373.8223;0.0014;-0.012049;2e-06;1373.7226;-16.5521;3732011463;-12.049000000000001;31.158289764;32.09418769689313;32.09185803365245;386.6935108104564
1000.0;1372.815;0.0045;-0.01217;1e-06;1372.7133;-16.7063;3732011464;-12.17;31.135444200000002;32.11773673683447;32.115358304860976;390.86320753393517
2000.0;1365.6369;0.0019;-0.0132;0.0;1365.5179;-18.0264;3732011465;-13.2;30.972644891999998;32.28655490956449;32.28374214574245;426.1701485735531
3000.0;1361.1318;0.0009;-0.013997;0.0;1360.9985;-19.0506;3732011466;-13.997;30.870469224;32.393417564983366;32.39024442224606;453.3958607340901
4000.0;1357.81;0.0057;-0.014652;1e-06;1357.6642;-19.8944;3732011466;-14.652;30.7951308;32.47266610083695;32.46918052929064;475.7724800562089
5000.0;1355.1343;0.001;-0.015217;0.0;1354.9774;-20.6208;3732011467;-15.216999999999999;30.734445924;32.53678307631755;32.53301608762051;495.0931205025066
6000.0;1352.913;0.0041;-0.015721;1e-06;1352.7458;-21.2685;3732011468;-15.720999999999998;30.68406684;32.590204069572415;32.58617682064096;512.3294938770665
7000.0;1350.9554;0.0047;-0.01618;0.0;1350.7786;-21.857;3732011469;-16.18;30.639668472;32.637428858404526;32.63315683618899;528.0505582881073
8000.0;1349.2704;0.0022;-0.016602;0.0;1349.0845;-22.4001;3732011470;-16.602;30.601452672;32.67818723243126;32.67368385025222;542.4983424868733
9000.0;1347.7164;0.004;-0.016999;1e-06;1347.5217;-22.9088;3732011471;-16.999;30.566207952;32.715867194594814;32.711140421763275;556.1102427124763
10000.0;1346.3545;0.0044;-0.017377;2e-06;1346.1512;-23.3944;3732011472;-17.377;30.535320059999997;32.74896081112176;32.744016495323585;569.0500526013891
20000.0;1336.7327;0.003;-0.020461;1e-06;1336.4529;-27.3492;3732011472;-20.461;30.317097636000003;32.98468778266397;32.977783462197635;674.8526062969155
30000.0;1330.7182;0.0033;-0.022997;0.0;1330.3664;-30.5995;3732011473;-22.997;30.180688776;33.133769988550114;33.12500877860197;761.9101467276507
40000.0;1326.29;0.0027;-0.025308;6e-06;1325.8653;-33.5621;3732011474;-25.308;30.0802572;33.244396593789766;33.233750729388866;841.2593785661052
45000.0;1324.4474;0.0129;-0.026413;6e-06;1323.9854;-34.9792;3732011475;-26.413;30.038467032;33.290646920653415;33.27903504295719;879.2036198958364
